"","Cladophora","Grimmia_pilifera","Cratoneuron_filicinum","Pylaisia","Bryum","Aloe","Phalaenopsis","Oryza","Zea","Rothmannia_macrophylla","Solanum_lycopersicum","Espeletia","Paeonia_rockii","Paeonia_suffruticosa","Vitis_vinifera","Santiria_apiculata","Brassica_oleracea","Brassica_napus","Populus_balsamifera","Microdesmis_caseariifolia","Pinus_flexilis","Pinus_pinaster"
"Cladophora",0,5.81547588411895e-315,6.15531856806162e-315,6.35689544447145e-315,5.8154750392667e-315,7.19629544730662e-315,8.07631131219702e-315,8.26969157037316e-315,8.74601010153903e-315,1.02735040742992e-314,9.8048768409058e-315,1.00615946498776e-314,8.20021139033461e-315,8.1720315459564e-315,9.2387659398279e-315,9.02713459037368e-315,1.00551549834277e-314,9.6973565655907e-315,9.98303092472053e-315,9.12792871527419e-315,6.71317627050806e-315,6.78225214180665e-315
"Grimmia_pilifera",5.81547588411895e-315,0,3.60538645729416e-315,3.806963333704e-315,3.26554292849924e-315,7.19630799163336e-315,8.07632385652377e-315,8.26970411469991e-315,8.74602264586578e-315,1.0273516618626e-314,9.80488938523255e-315,1.00616071942043e-314,8.20022393466136e-315,8.17204409028315e-315,9.23877848415465e-315,9.02714713470043e-315,1.00551675277544e-314,9.69736910991744e-315,9.98304346904728e-315,9.12794125960093e-315,6.71318881483481e-315,6.7822646861334e-315
"Cratoneuron_filicinum",6.15531856806162e-315,3.60538645729416e-315,0,1.63277313666183e-315,2.68821171261312e-315,7.53615067557603e-315,8.41616654046644e-315,8.60954679864258e-315,9.08586532980844e-315,1.06133593025686e-314,1.01447320691752e-314,1.0401449878147e-314,8.54006661860403e-315,8.51188677422581e-315,9.57862116809731e-315,9.3669898186431e-315,1.03950102116971e-314,1.00372117938601e-314,1.03228861529899e-314,9.4677839435436e-315,7.05303149877748e-315,7.12210737007607e-315
"Pylaisia",6.35689544447145e-315,3.806963333704e-315,1.63277313666183e-315,0,2.88978858902296e-315,7.73772755198587e-315,8.61774341687627e-315,8.81112367505241e-315,9.28744220621828e-315,1.08149361789785e-314,1.03463089455851e-314,1.06030267545568e-314,8.74164349501386e-315,8.71346365063565e-315,9.78019804450715e-315,9.56856669505293e-315,1.0596587088107e-314,1.02387886702699e-314,1.05244630293998e-314,9.66936081995344e-315,7.25460837518731e-315,7.3236842464859e-315
"Bryum",5.8154750392667e-315,3.26554292849924e-315,2.68821171261312e-315,2.88978858902296e-315,0,7.19630714678111e-315,8.07632301167152e-315,8.26970326984766e-315,8.74602180101352e-315,1.02735157737737e-314,9.8048885403803e-315,1.00616063493521e-314,8.20022308980911e-315,8.17204324543089e-315,9.23877763930239e-315,9.02714628984818e-315,1.00551666829022e-314,9.69736826506519e-315,9.98304262419502e-315,9.12794041474868e-315,6.71318796998256e-315,6.78226384128115e-315
"Aloe",7.19629544730662e-315,7.19630799163336e-315,7.53615067557603e-315,7.73772755198587e-315,7.19630714678111e-315,0,3.63154365126552e-315,4.54052076487829e-315,5.01683929604416e-315,7.47161689797936e-315,7.00298966458593e-315,7.25970747355769e-315,5.39832421401474e-315,5.37014436963653e-315,6.43687876350803e-315,6.22524741405381e-315,7.25326780710783e-315,6.89546938927083e-315,7.18114374840066e-315,6.32604153895431e-315,5.54406040280713e-315,5.61313627410572e-315
"Phalaenopsis",8.07631131219702e-315,8.07632385652377e-315,8.41616654046644e-315,8.61774341687627e-315,8.07632301167152e-315,3.63154365126552e-315,0,5.4205366297687e-315,5.89685516093457e-315,8.35163276286976e-315,7.88300552947634e-315,8.1397233384481e-315,6.27834007890515e-315,6.25016023452693e-315,7.31689462839843e-315,7.10526327894422e-315,8.13328367199823e-315,7.77548525416123e-315,8.06115961329106e-315,7.20605740384472e-315,6.42407626769754e-315,6.49315213899613e-315
"Oryza",8.26969157037316e-315,8.26970411469991e-315,8.60954679864258e-315,8.81112367505241e-315,8.26970326984766e-315,4.54052076487829e-315,5.4205366297687e-315,0,3.74186670170161e-315,8.5450130210459e-315,8.07638578765248e-315,8.33310359662424e-315,6.47172033708129e-315,6.44354049270307e-315,7.51027488657457e-315,7.29864353712036e-315,8.32666393017437e-315,7.96886551233737e-315,8.2545398714672e-315,7.39943766202086e-315,6.61745652587368e-315,6.68653239717227e-315
"Zea",8.74601010153903e-315,8.74602264586578e-315,9.08586532980844e-315,9.28744220621828e-315,8.74602180101352e-315,5.01683929604416e-315,5.89685516093457e-315,3.74186670170161e-315,0,9.02133155221177e-315,8.55270431881834e-315,8.8094221277901e-315,6.94803886824715e-315,6.91985902386894e-315,7.98659341774044e-315,7.77496206828622e-315,8.80298246134024e-315,8.44518404350324e-315,8.73085840263307e-315,7.87575619318673e-315,7.09377505703955e-315,7.16285092833813e-315
"Rothmannia_macrophylla",1.02735040742992e-314,1.0273516618626e-314,1.06133593025686e-314,1.08149361789785e-314,1.02735157737737e-314,7.47161689797936e-315,8.35163276286976e-315,8.5450130210459e-315,9.02133155221177e-315,0,5.36703445860681e-315,5.62375228734119e-315,4.47802627781942e-315,4.44984643344121e-315,5.51658082731271e-315,5.30494947785849e-315,6.33296987091251e-315,5.97517145307551e-315,6.26084581220534e-315,5.40574360275899e-315,8.62126902979974e-315,8.69034490109833e-315
"Solanum_lycopersicum",9.8048768409058e-315,9.80488938523255e-315,1.01447320691752e-314,1.03463089455851e-314,9.8048885403803e-315,7.00298966458593e-315,7.88300552947634e-315,8.07638578765248e-315,8.55270431881834e-315,5.36703445860681e-315,0,5.15512505394777e-315,4.009399044426e-315,3.98121920004778e-315,5.04795359391928e-315,4.83632224446507e-315,5.86434263751909e-315,5.50654421968208e-315,5.79221857881192e-315,4.93711636936557e-315,8.15264179640632e-315,8.22171766770491e-315
"Espeletia",1.00615946498776e-314,1.00616071942043e-314,1.0401449878147e-314,1.06030267545568e-314,1.00616063493521e-314,7.25970747355769e-315,8.1397233384481e-315,8.33310359662424e-315,8.8094221277901e-315,5.62375228734119e-315,5.15512505394777e-315,0,4.26611685339776e-315,4.23793700901954e-315,5.30467140289104e-315,5.09304005343683e-315,6.12106044649085e-315,5.76326202865384e-315,6.04893638778368e-315,5.19383417833733e-315,8.40935960537808e-315,8.47843547667667e-315
"Paeonia_rockii",8.20021139033461e-315,8.20022393466136e-315,8.54006661860403e-315,8.74164349501386e-315,8.20022308980911e-315,5.39832421401474e-315,6.27834007890515e-315,6.47172033708129e-315,6.94803886824715e-315,4.47802627781942e-315,4.009399044426e-315,4.26611685339776e-315,0,7.43776146461323e-316,3.44328814334809e-315,3.23165679389388e-315,4.25967718694789e-315,3.90187876911089e-315,4.18755312824072e-315,3.33245091879438e-315,6.54797634583513e-315,6.61705221713372e-315
"Paeonia_suffruticosa",8.1720315459564e-315,8.17204409028315e-315,8.51188677422581e-315,8.71346365063565e-315,8.17204324543089e-315,5.37014436963653e-315,6.25016023452693e-315,6.44354049270307e-315,6.91985902386894e-315,4.44984643344121e-315,3.98121920004778e-315,4.23793700901954e-315,7.43776146461323e-316,0,3.41510829896988e-315,3.20347694951566e-315,4.23149734256968e-315,3.87369892473268e-315,4.15937328386251e-315,3.30427107441616e-315,6.51979650145691e-315,6.5888723727555e-315
"Vitis_vinifera",9.2387659398279e-315,9.23877848415465e-315,9.57862116809731e-315,9.78019804450715e-315,9.23877763930239e-315,6.43687876350803e-315,7.31689462839843e-315,7.51027488657457e-315,7.98659341774044e-315,5.51658082731271e-315,5.04795359391928e-315,5.30467140289104e-315,3.44328814334809e-315,3.41510829896988e-315,0,3.27560210010791e-315,4.30362249316193e-315,3.94582407532492e-315,4.23149843445476e-315,3.37639622500841e-315,7.58653089532842e-315,7.655606766627e-315
"Santiria_apiculata",9.02713459037368e-315,9.02714713470043e-315,9.3669898186431e-315,9.56856669505293e-315,9.02714628984818e-315,6.22524741405381e-315,7.10526327894422e-315,7.29864353712036e-315,7.77496206828622e-315,5.30494947785849e-315,4.83632224446507e-315,5.09304005343683e-315,3.23165679389388e-315,3.20347694951566e-315,3.27560210010791e-315,0,3.17481099888916e-315,2.81701258105216e-315,4.01986708500054e-315,3.1647648755542e-315,7.3748995458742e-315,7.44397541717279e-315
"Brassica_oleracea",1.00551549834277e-314,1.00551675277544e-314,1.03950102116971e-314,1.0596587088107e-314,1.00551666829022e-314,7.25326780710783e-315,8.13328367199823e-315,8.32666393017437e-315,8.80298246134024e-315,6.33296987091251e-315,5.86434263751909e-315,6.12106044649085e-315,4.25967718694789e-315,4.23149734256968e-315,4.30362249316193e-315,3.17481099888916e-315,0,3.57798437599629e-316,5.04788747805456e-315,4.19278526860821e-315,8.40291993892822e-315,8.4719958102268e-315
"Brassica_napus",9.6973565655907e-315,9.69736910991744e-315,1.00372117938601e-314,1.02387886702699e-314,9.69736826506519e-315,6.89546938927083e-315,7.77548525416123e-315,7.96886551233737e-315,8.44518404350324e-315,5.97517145307551e-315,5.50654421968208e-315,5.76326202865384e-315,3.90187876911089e-315,3.87369892473268e-315,3.94582407532492e-315,2.81701258105216e-315,3.57798437599629e-316,0,4.69008906021756e-315,3.83498685077121e-315,8.04512152109121e-315,8.1141973923898e-315
"Populus_balsamifera",9.98303092472053e-315,9.98304346904728e-315,1.03228861529899e-314,1.05244630293998e-314,9.98304262419502e-315,7.18114374840066e-315,8.06115961329106e-315,8.2545398714672e-315,8.73085840263307e-315,6.26084581220534e-315,5.79221857881192e-315,6.04893638778368e-315,4.18755312824072e-315,4.15937328386251e-315,4.23149843445476e-315,4.01986708500054e-315,5.04788747805456e-315,4.69008906021756e-315,0,2.48788199623177e-315,8.33079588022105e-315,8.39987175151963e-315
"Microdesmis_caseariifolia",9.12792871527419e-315,9.12794125960093e-315,9.4677839435436e-315,9.66936081995344e-315,9.12794041474868e-315,6.32604153895431e-315,7.20605740384472e-315,7.39943766202086e-315,7.87575619318673e-315,5.40574360275899e-315,4.93711636936557e-315,5.19383417833733e-315,3.33245091879438e-315,3.30427107441616e-315,3.37639622500841e-315,3.1647648755542e-315,4.19278526860821e-315,3.83498685077121e-315,2.48788199623177e-315,0,7.4756936707747e-315,7.54476954207329e-315
"Pinus_flexilis",6.71317627050806e-315,6.71318881483481e-315,7.05303149877748e-315,7.25460837518731e-315,6.71318796998256e-315,5.54406040280713e-315,6.42407626769754e-315,6.61745652587368e-315,7.09377505703955e-315,8.62126902979974e-315,8.15264179640632e-315,8.40935960537808e-315,6.54797634583513e-315,6.51979650145691e-315,7.58653089532842e-315,7.3748995458742e-315,8.40291993892822e-315,8.04512152109121e-315,8.33079588022105e-315,7.4756936707747e-315,0,1.70185619167491e-315
"Pinus_pinaster",6.78225214180665e-315,6.7822646861334e-315,7.12210737007607e-315,7.3236842464859e-315,6.78226384128115e-315,5.61313627410572e-315,6.49315213899613e-315,6.68653239717227e-315,7.16285092833813e-315,8.69034490109833e-315,8.22171766770491e-315,8.47843547667667e-315,6.61705221713372e-315,6.5888723727555e-315,7.655606766627e-315,7.44397541717279e-315,8.4719958102268e-315,8.1141973923898e-315,8.39987175151963e-315,7.54476954207329e-315,1.70185619167491e-315,0
